T/F,CP,CN,choice_depth,num_sat_clauses,lit,good_decision,majority_was_picked,CPxCN,sumCPCN,deltaC,maxCPCN
-1,0,5,3,10125,134,True,True,0,5,-630,5
1,4,3,4,10109,135,False,True,12,7,-630,4
-1,0,3,3,10405,162,True,True,0,3,-630,3
-1,0,2,2,9921,134,True,True,0,2,-630,2
-1,0,3,1,9720,111,True,True,0,3,-630,3
1,4,3,5,10206,211,True,True,12,7,-630,4
-1,0,6,1,10004,111,True,True,0,6,-630,6
1,4,3,4,10394,317,True,True,12,7,-630,4
1,4,3,3,9903,134,False,True,12,7,-630,4
1,4,3,1,9899,213,False,True,12,7,-630,4
1,4,3,3,10426,345,True,True,12,7,-630,4
1,4,3,5,10401,315,False,True,12,7,-630,4
1,4,3,6,10430,574,True,True,12,7,-630,4
1,4,3,6,10407,315,False,True,12,7,-630,4
1,4,3,6,10436,574,True,True,12,7,-630,4
-1,0,5,5,9637,141,True,True,0,5,-630,5
1,4,3,6,9598,148,True,True,12,7,-630,4
-1,0,5,7,9697,151,True,True,0,5,-630,5
1,4,3,10,10149,323,False,True,12,7,-630,4
-1,0,5,11,9773,151,True,True,0,5,-630,5
1,4,3,4,9925,172,True,True,12,7,-630,4
-1,0,5,1,9402,112,True,True,0,5,-630,5
